name,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
original_nano,50,1101.73,0.92284,0.57091,0.89477,0.72323,0.71314,0.75561,0.56668,0.90099,0.71048,0.86958,4.96766e-05,4.96766e-05,4.96766e-05
original_medium,37,2165.87,0.8973,0.56413,0.92548,0.75192,0.74405,0.78829,0.60563,0.81045,0.64795,0.86259,0.000478762,0.000478762,0.000478762
original_xl,39,4985.46,0.86174,0.52846,0.93082,0.77777,0.74674,0.80919,0.62187,0.80516,0.59333,0.87366,0.000412749,0.000412749,0.000412749
stylegan2-ada+original_nano,39,1586.61,0.65388,0.43191,0.87325,0.73338,0.69339,0.74963,0.56012,0.90101,0.72172,0.86269,0.000412749,0.000412749,0.000412749
stylegan2-ada+original_medium,27,3069.31,0.60065,0.38535,0.86988,0.74432,0.75585,0.80481,0.62178,0.82455,0.59036,0.86212,0.000808828,0.000808828,0.000808828
stylegan2-ada+original_xl,34,8739.39,0.55988,0.33538,0.87343,0.78646,0.7435,0.80779,0.62266,0.80762,0.58463,0.87949,0.000577782,0.000577782,0.000577782
stylegan2-ada_medium,30,1713.31,0.48111,0.32835,0.85824,0.74597,0.73659,0.79492,0.60675,0.84491,0.6316,0.86485,0.000709809,0.000709809,0.000709809
ddpm+original_nano,40,1681.54,0.88237,0.56564,0.90269,0.71691,0.68589,0.74238,0.55949,0.90609,0.73533,0.86656,0.000379743,0.000379743,0.000379743
ddpm+original_medium,40,4591.27,0.7382,0.42746,0.87856,0.76877,0.74051,0.8018,0.6223,0.81197,0.60014,0.86909,0.000379743,0.000379743,0.000379743
mixed+original_medium,34,3894.26,0.69915,0.42396,0.88561,0.78799,0.75378,0.8134,0.632,0.80794,0.58401,0.85974,0.000577782,0.000577782,0.000577782
small_medium,42,2866.54,0.77961,0.45859,0.88321,0.74849,0.7444,0.79763,0.61798,0.82803,0.6105,0.87096,0.000313729,0.000313729,0.000313729




